VehId,Trip,window_id,duration_s,sample_count,mean_speed_kmh,max_speed_kmh,std_speed_kmh,mean_pos_accel_ms2,max_pos_accel_ms2,mean_neg_accel_ms2,min_neg_accel_ms2,hard_braking_events,hard_braking_rate_min,rapid_accel_events,rapid_accel_rate_min,high_jerk_events,idle_ratio,mean_power_kw,total_energy_kwh,cluster_id,cluster_label,pca_x,pca_y
455,2051,1,120.0,120,63.22,75.52,11.48,0.275,0.745,-0.406,-1.679,0,0.0,0,0.0,0,0.0,5.46,0.1822,0,Econômico / Suave,-1.8017608152225,2.0438759569293294
455,2051,2,120.0,118,37.99,70.5,11.82,0.647,1.633,-0.585,-1.792,0,0.0,0,0.0,0,0.0,5.14,0.1728,1,Moderado / Regular,-0.18649763171740086,-0.209742528955719
455,2051,3,120.0,120,102.62,125.53,27.3,0.514,1.453,-0.417,-0.974,0,0.0,0,0.0,0,0.0,20.07,0.6691,0,Econômico / Suave,1.2722004462378376,4.204822035415304
455,2051,4,120.0,120,106.32,124.03,17.05,0.26,0.69,-0.391,-1.057,0,0.0,0,0.0,0,0.0,13.17,0.4391,0,Econômico / Suave,-0.9252561249336229,4.567970085330212
455,2051,5,91.0,81,34.22,76.02,30.7,0.87,1.885,-0.935,-2.182,3,1.98,0,0.0,0,0.185,3.47,0.0806,2,Agressivo / Dinâmico,2.5217907676677913,0.42784266726499465
455,2052,0,120.0,117,90.56,123.26,29.64,0.62,2.206,-0.643,-2.308,2,1.0,2,1.0,0,0.0,22.06,0.7333,2,Agressivo / Dinâmico,3.1417732855243625,3.094504992264165
455,2052,1,120.0,120,117.04,130.93,12.69,0.206,0.476,-0.366,-0.866,0,0.0,0,0.0,0,0.0,18.07,0.6022,0,Econômico / Suave,-1.4835207211590122,5.044350834115177
455,2052,2,120.0,120,101.31,113.92,10.43,0.337,1.436,-0.35,-0.927,0,0.0,0,0.0,0,0.0,16.9,0.5634,0,Econômico / Suave,-0.48880850526642583,3.547806572490393
455,2052,3,120.0,115,67.21,118.97,42.37,0.725,1.9,-0.794,-2.508,4,2.0,0,0.0,0,0.043,4.6,0.1502,2,Agressivo / Dinâmico,3.4688065495448233,2.9959598373220215
455,2052,4,120.0,120,45.1,63.63,15.57,0.425,1.206,-0.679,-1.939,0,0.0,0,0.0,0,0.008,3.71,0.1236,0,Econômico / Suave,-0.8458927663386786,0.9152396132302838
455,2052,5,115.0,77,23.52,60.29,23.21,0.645,2.312,-0.957,-2.069,1,0.52,1,0.52,0,0.429,2.72,0.0668,1,Moderado / Regular,1.6035296202865674,-0.6378796297053833
455,2052,6,55.0,33,11.88,39.88,15.56,0.854,1.585,-0.208,-0.292,0,0.0,0,0.0,0,0.576,7.02,0.0695,1,Moderado / Regular,0.24294053831213583,-1.6867362695754853
455,2066,0,117.0,102,26.73,45.24,14.97,0.698,1.975,-0.711,-2.179,1,0.51,0,0.0,0,0.108,2.21,0.0611,1,Moderado / Regular,0.5296456237969096,-0.743338911244424
